"Left Distance","Right Distance","nose","Left Status","Right Status"
"7","6","31","1","1"
"5","6","19","1","1"
"5","4","19","1","1"
"5","4","19","1","1"
"5","6","22","0","0"
"3","4","21","0","0"
"4","4","21","0","0"
"4","4","10","1","1"
"5","5","22","1","1"
"5","4","22","0","0"
"2","3","23","0","1"
"3","3","15","0","1"
"4","4","14","1","1"
"3","3","15","1","1"
"6","5","22","1","1"
"5","5","12","1","1"
"3","4","30","1","1"
"3","2","19","0","0"
"5","6","31","0","0"
"3","3","25","0","0"
"8","8","46","1","1"
"5","4","50","0","0"
"6","6","48","0","0"
"5","5","28","0","0"
"9","9","31","1","1"
"10","10","35","1","1"
"9","9","35","1","1"
"4","4","30","0","0"
"7","7","70","0","0"
"4","4","24","0","0"
"5","4","27","0","0"
"6","6","24","1","1"
"7","7","25","1","1"
"14","14","75","1","1"
"9","8","56","1","1"
"6","6","51","0","0"
"11","11","38","1","1"
"5","4","51","0","0"
"7","6","52","0","0"
"4","4","45","0","0"
"6","6","45","0","0"
"5","6","42","0","1"
"5","6","41","0","1"
"4","5","37","1","1"
"5","6","37","1","1"
"5","4","20","1","1"
"3","4","29","0","0"
"3","3","17","0","0"
"4","4","19","0","0"
"5","3","21","0","1"
"3","4","22","1","1"
"3","3","9","0","0"
"3","3","21","0","0"
"4","5","21","1","1"
"5","5","20","1","1"
"7","7","19","1","1"
"7","7","21","1","1"
"5","6","20","1","1"
"5","5","23","0","0"
"4","5","23","0","0"
"3","3","17","0","0"
"7","7","25","1","1"
"5","5","13","1","1"
"3","3","17","1","1"
"7","6","19","0","0"
"4","3","24","0","0"
"4","4","20","0","0"
"3","3","19","0","0"
"4","5","16","0","0"
"4","5","13","1","1"
"4","4","20","1","1"
"4","3","22","0","0"
"4","5","14","1","1"
"3","3","32","0","0"
"3","4","26","0","1"
"6","7","14","1","1"
"3","3","10","0","0"
"16","15","80","1","1"
"16","16","71","1","1"
"13","14","71","1","1"
"12","11","70","1","1"
"7","6","72","0","0"
"15","14","69","1","0"
"9","8","83","1","0"
"7","7","56","1","1"
"8","8","58","1","1"
"12","13","44","1","1"
"9","9","32","1","1"
"10","10","29","1","1"
"5","5","54","0","0"
"3","4","26","0","0"
"5","4","50","0","0"
"10","11","53","1","1"
"6","5","53","1","1"
"7","7","46","1","1"
"6","7","29","1","1"
"11","11","47","1","1"
"6","6","48","0","0"
"4","3","45","0","0"
"5","5","47","0","0"
"3","4","24","0","0"
"4","3","11","0","0"
"2","3","18","0","0"
"5","6","25","1","1"
"5","5","19","1","1"
"4","4","17","1","1"
"4","4","19","0","0"
"5","6","20","1","1"
"7","7","24","1","1"
"4","4","43","0","0"
"3","4","35","1","0"
"5","4","29","0","0"
"4","4","17","0","0"
"6","6","16","1","1"
"5","6","40","1","1"
"6","6","24","1","1"
"5","5","20","1","1"
"5","5","12","0","0"
"5","5","22","0","0"
"4","4","13","1","1"
"4","5","18","1","1"
"5","5","14","1","1"
"5","5","14","0","0"
"3","3","15","0","0"
"5","5","14","1","1"
"5","5","25","1","1"
"7","6","26","1","1"
"5","5","25","1","1"
"5","4","25","1","1"
"6","6","16","1","1"
"3","4","17","1","0"
"3","2","18","0","0"
"4","4","11","1","1"
"3","3","20","0","0"
"5","5","22","1","1"
"6","5","21","1","1"
"5","4","12","0","0"
"17","17","92","1","1"
"12","14","68","1","1"
"13","13","66","1","1"
"12","11","64","1","1"
"10","12","51","1","1"
"9","10","56","1","1"
"7","6","67","0","0"
"7","7","68","0","0"
"9","9","75","0","0"
"4","3","67","0","0"
"13","14","68","0","0"
